               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.106,            0.050034,            0.036706,           0.0069924,             0.79633,            0.022216,           0.0050236,            0.085038,            0.027284,            0.028607,            0.070857,           0.0032381,           0.0032381
                   1,            0.083624,            0.051732,             0.02474,             0.39851,              0.2895,            0.088109,            0.027827,            0.074672,            0.036706,            0.019146,            0.040727,           0.0064413,           0.0064413
                   2,            0.077896,            0.047681,            0.019809,             0.39864,             0.20046,             0.16743,            0.069519,            0.077912,            0.025902,            0.015866,            0.010465,           0.0095125,           0.0095125
                   3,            0.070734,            0.041131,              0.0152,             0.56583,             0.24436,             0.52621,             0.21977,            0.066945,            0.022728,            0.011448,            0.009406,            0.009406,            0.009406
                   4,            0.071819,            0.043496,            0.013035,             0.62849,             0.35399,             0.38502,             0.14172,            0.060294,             0.02115,           0.0079194,            0.009406,            0.009406,            0.009406
                   5,            0.067337,            0.042809,            0.013029,             0.61967,              0.3191,              0.2637,            0.092255,            0.064085,            0.020611,            0.007724,            0.009208,            0.009208,            0.009208
                   6,            0.063144,            0.040011,            0.010498,             0.60773,             0.31162,             0.28369,             0.11705,            0.058697,            0.024194,           0.0065094,             0.00901,             0.00901,             0.00901
                   7,            0.061705,            0.041806,           0.0098585,             0.65386,              0.3276,             0.31798,             0.13258,            0.056648,            0.021092,           0.0061219,            0.008812,            0.008812,            0.008812
                   8,            0.058513,            0.036663,           0.0097021,             0.64687,             0.33241,             0.32193,             0.13392,            0.052663,            0.019491,           0.0058772,            0.008614,            0.008614,            0.008614
                   9,            0.053752,            0.035853,           0.0094498,             0.76613,              0.3914,             0.39483,             0.18064,            0.048598,            0.019523,           0.0061047,            0.008416,            0.008416,            0.008416
                  10,            0.052943,            0.037376,           0.0091872,             0.71286,             0.44353,             0.42581,             0.21975,            0.046066,            0.019622,           0.0061334,            0.008218,            0.008218,            0.008218
                  11,            0.051577,            0.040317,            0.009231,               0.727,             0.45082,             0.44129,             0.20677,            0.045941,            0.019553,           0.0062773,             0.00802,             0.00802,             0.00802
                  12,             0.05196,            0.035622,           0.0078785,               0.762,             0.44625,             0.47477,             0.24289,            0.044534,            0.018368,           0.0061096,            0.007822,            0.007822,            0.007822
                  13,            0.048791,            0.036773,           0.0081898,             0.77153,             0.46045,              0.4812,             0.25372,            0.044687,            0.017941,           0.0077375,            0.007624,            0.007624,            0.007624
                  14,            0.049523,            0.038294,           0.0079753,             0.80236,             0.39836,             0.46138,             0.21359,            0.045109,            0.019132,           0.0068145,            0.007426,            0.007426,            0.007426
                  15,            0.046153,            0.037831,           0.0069307,             0.76081,              0.4531,             0.47381,             0.25885,            0.042907,            0.018779,           0.0063377,            0.007228,            0.007228,            0.007228
                  16,            0.045725,            0.034499,            0.007245,             0.79717,             0.42688,             0.49212,             0.27197,            0.040562,            0.018903,           0.0058097,             0.00703,             0.00703,             0.00703
                  17,            0.044242,            0.033888,           0.0067206,             0.75448,             0.44513,             0.48007,             0.25063,            0.041959,            0.019065,           0.0069616,            0.006832,            0.006832,            0.006832
                  18,            0.046409,            0.033287,           0.0067169,             0.80859,             0.40175,             0.47474,             0.26081,            0.040678,            0.018627,            0.006608,            0.006634,            0.006634,            0.006634
                  19,            0.043256,            0.033965,           0.0070058,              0.7682,             0.44426,             0.47468,             0.24943,            0.042544,            0.018531,           0.0062875,            0.006436,            0.006436,            0.006436
                  20,            0.045498,             0.03343,           0.0057453,             0.79887,             0.45777,             0.49321,              0.2861,            0.041007,            0.018452,           0.0051216,            0.006238,            0.006238,            0.006238
                  21,            0.043254,            0.035202,           0.0060694,             0.79191,             0.46896,             0.51649,             0.31046,            0.039987,             0.01788,           0.0045829,             0.00604,             0.00604,             0.00604
                  22,            0.041579,            0.032768,            0.005405,              0.8266,             0.42424,             0.50392,             0.29329,            0.040837,            0.017984,           0.0045247,            0.005842,            0.005842,            0.005842
                  23,            0.041057,            0.032966,           0.0062807,             0.87071,              0.4422,              0.5295,             0.32068,            0.037946,             0.01713,           0.0041954,            0.005644,            0.005644,            0.005644
                  24,            0.042342,            0.038593,           0.0053574,              0.8717,             0.42924,             0.52555,             0.31149,            0.038629,            0.017064,           0.0040084,            0.005446,            0.005446,            0.005446
                  25,            0.040923,            0.033131,            0.006324,             0.80232,              0.4755,             0.53025,             0.30395,            0.038882,            0.017317,           0.0047572,            0.005248,            0.005248,            0.005248
                  26,            0.040973,            0.034148,           0.0051699,             0.87996,              0.4447,             0.51737,             0.31563,            0.038595,            0.017142,           0.0060718,             0.00505,             0.00505,             0.00505
                  27,            0.041056,               0.034,           0.0053503,             0.82799,             0.46797,             0.52428,              0.3083,            0.038628,            0.017052,           0.0048728,            0.004852,            0.004852,            0.004852
                  28,            0.038058,            0.031093,           0.0048382,             0.83524,             0.43073,             0.51535,             0.30501,            0.038373,            0.017261,           0.0051686,            0.004654,            0.004654,            0.004654
                  29,             0.03986,            0.033316,           0.0052708,             0.78515,             0.47055,             0.51485,              0.3162,            0.038504,            0.017354,           0.0049698,            0.004456,            0.004456,            0.004456
                  30,            0.037735,            0.029418,           0.0052529,             0.81785,             0.44939,             0.51866,             0.32262,            0.037759,            0.017501,              0.0052,            0.004258,            0.004258,            0.004258
                  31,            0.037471,            0.027481,           0.0054483,              0.8596,             0.42711,             0.53267,             0.33323,            0.036516,            0.017258,           0.0052952,             0.00406,             0.00406,             0.00406
                  32,            0.037803,            0.029547,           0.0059594,             0.85289,             0.45325,             0.58156,             0.37799,            0.036673,            0.016772,            0.005387,            0.003862,            0.003862,            0.003862
                  33,             0.03705,             0.02839,           0.0049748,             0.80058,              0.4829,             0.59322,             0.37728,            0.036677,            0.017067,           0.0041365,            0.003664,            0.003664,            0.003664
                  34,            0.037291,            0.029047,           0.0056387,              0.7806,             0.51285,             0.64259,             0.40252,             0.03643,            0.016718,           0.0041202,            0.003466,            0.003466,            0.003466
                  35,            0.036437,            0.029588,           0.0055855,             0.82329,              0.4723,             0.69642,             0.46282,            0.035584,            0.016913,           0.0044152,            0.003268,            0.003268,            0.003268
                  36,            0.036302,            0.029017,           0.0055383,             0.82379,              0.4611,             0.85562,             0.62517,            0.035491,            0.017169,           0.0052783,             0.00307,             0.00307,             0.00307
                  37,            0.036825,            0.031693,           0.0050118,             0.84318,              0.4512,             0.57348,             0.36765,            0.035618,            0.017099,           0.0061321,            0.002872,            0.002872,            0.002872
                  38,            0.034408,            0.030604,           0.0048319,             0.81188,             0.49314,             0.85831,             0.60357,            0.034575,            0.016811,           0.0056427,            0.002674,            0.002674,            0.002674
                  39,            0.035257,            0.033778,           0.0047806,             0.89902,             0.43816,             0.86843,             0.59958,            0.035008,            0.016975,           0.0047957,            0.002476,            0.002476,            0.002476
                  40,            0.034565,             0.03018,           0.0049577,             0.89495,             0.45412,             0.87257,              0.6103,            0.034624,             0.01692,           0.0044605,            0.002278,            0.002278,            0.002278
                  41,             0.03623,            0.029759,           0.0048135,              0.8418,             0.48945,             0.88022,             0.62214,            0.034596,            0.016916,           0.0042689,             0.00208,             0.00208,             0.00208
                  42,            0.033521,            0.027998,           0.0049817,             0.86125,             0.47838,             0.87563,             0.61804,            0.034431,             0.01665,           0.0044657,            0.001882,            0.001882,            0.001882
                  43,            0.032565,            0.028629,           0.0045996,             0.84954,             0.49364,             0.70527,              0.4607,            0.034514,            0.016512,           0.0042495,            0.001684,            0.001684,            0.001684
                  44,            0.032478,            0.027725,           0.0056912,             0.84912,             0.48798,             0.70769,             0.47752,            0.034559,            0.016503,           0.0040765,            0.001486,            0.001486,            0.001486
                  45,            0.034084,            0.029072,           0.0042355,             0.85747,             0.48493,             0.59826,             0.39878,            0.034007,             0.01626,           0.0039218,            0.001288,            0.001288,            0.001288
                  46,            0.034202,            0.033623,           0.0043649,             0.82998,             0.50667,             0.55544,             0.36585,            0.033794,            0.016176,           0.0040557,             0.00109,             0.00109,             0.00109
                  47,            0.032356,            0.028443,           0.0044007,             0.84541,             0.48391,             0.57449,             0.38009,            0.033852,             0.01623,           0.0042464,            0.000892,            0.000892,            0.000892
                  48,            0.033002,            0.028661,           0.0039591,             0.86204,             0.49775,             0.65408,               0.443,            0.033791,            0.016208,           0.0041296,            0.000694,            0.000694,            0.000694
                  49,            0.032486,            0.029993,           0.0039408,             0.86536,             0.48174,             0.70611,             0.48836,            0.033787,            0.016271,            0.004174,            0.000496,            0.000496,            0.000496
