               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.106,            0.050034,            0.036706,           0.0069924,             0.79633,            0.022216,           0.0050236,            0.085038,            0.027284,            0.028607,            0.070857,           0.0032381,           0.0032381
                   1,            0.083536,            0.051717,            0.024662,             0.41356,             0.25144,             0.10794,            0.031815,            0.075224,            0.037768,             0.01924,            0.040792,           0.0065064,           0.0065064
                   2,            0.078853,            0.047084,            0.019662,             0.47836,             0.24158,             0.44436,             0.20566,            0.070936,            0.024982,            0.015085,            0.010661,           0.0097086,           0.0097086
                   3,            0.071158,            0.040749,            0.015134,             0.58165,             0.22882,             0.30608,             0.13084,            0.073013,            0.022731,            0.010844,            0.009703,            0.009703,            0.009703
                   4,            0.072029,             0.04305,            0.013198,               0.573,             0.30523,             0.24151,            0.080857,            0.064671,            0.022656,           0.0073104,            0.009703,            0.009703,            0.009703
                   5,            0.066761,             0.04266,            0.012949,             0.60691,             0.35884,             0.28204,              0.1041,            0.060442,            0.019886,           0.0063165,            0.009604,            0.009604,            0.009604
                   6,            0.062572,            0.040316,            0.010351,             0.56923,              0.3208,             0.24364,             0.10595,            0.057448,            0.024091,           0.0064677,            0.009505,            0.009505,            0.009505
                   7,            0.060553,            0.041764,           0.0095902,             0.56591,             0.31105,             0.25823,             0.11578,            0.056828,            0.020545,           0.0061872,            0.009406,            0.009406,            0.009406
                   8,            0.058096,            0.036523,           0.0095536,              0.5922,             0.33073,             0.25682,             0.10763,            0.053763,            0.019605,           0.0057343,            0.009307,            0.009307,            0.009307
                   9,            0.053718,            0.035956,           0.0095227,              0.6667,             0.40346,             0.34825,             0.17041,            0.047969,            0.020065,           0.0061173,            0.009208,            0.009208,            0.009208
                  10,            0.051464,            0.037272,           0.0093291,             0.69661,             0.38499,             0.39296,             0.19685,            0.049423,            0.018877,           0.0067435,            0.009109,            0.009109,            0.009109
                  11,            0.052676,            0.039163,           0.0089564,             0.68151,             0.42061,             0.40437,             0.22359,            0.046504,            0.019803,           0.0070436,             0.00901,             0.00901,             0.00901
                  12,            0.052359,            0.035375,           0.0077296,             0.76908,             0.42435,             0.47417,             0.24725,            0.044555,            0.018687,           0.0068464,            0.008911,            0.008911,            0.008911
                  13,            0.050016,            0.036497,           0.0085094,              0.8072,             0.40028,             0.47599,             0.25791,            0.044461,            0.018478,           0.0057455,            0.008812,            0.008812,            0.008812
                  14,            0.049257,            0.038538,           0.0077799,             0.73721,             0.39616,              0.4608,             0.24352,            0.046562,            0.018473,           0.0060347,            0.008713,            0.008713,            0.008713
                  15,            0.047607,            0.037616,           0.0068909,             0.76251,             0.44223,             0.44628,             0.22452,            0.044975,            0.019009,           0.0052505,            0.008614,            0.008614,            0.008614
                  16,            0.046267,            0.035069,           0.0074782,             0.77682,             0.44946,             0.45488,             0.25529,            0.043097,             0.01909,           0.0051345,            0.008515,            0.008515,            0.008515
                  17,            0.044028,            0.033986,           0.0072228,             0.75294,              0.4965,             0.48484,             0.24608,            0.044475,            0.019364,           0.0050585,            0.008416,            0.008416,            0.008416
                  18,            0.047551,            0.033198,           0.0068806,             0.76639,             0.45758,             0.47344,              0.2355,            0.043002,            0.019583,            0.005254,            0.008317,            0.008317,            0.008317
                  19,            0.044743,            0.034359,           0.0068501,             0.80445,             0.42917,              0.4784,             0.24347,            0.043637,            0.019194,           0.0054765,            0.008218,            0.008218,            0.008218
